% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
483 0 +2.287134893e+02 +1.228713489e+03 +1.228713489e+03 -2.4412e+00 +3.7399e+00 +4.6988e+00 +2.2181e+00 +4.6929e+00 -4.8842e-01 -2.4153e+00 +1.6851e+00 -3.6043e+00 -2.2469e+00 -2.7055e+00 -3.6684e+00 -1.4968e+00 -1.6893e+00 +2.4216e+00 +2.7690e+00 +3.3267e+00 +1.1981e+00 -1.2115e+00 -2.2831e+00
574 0 +2.139122855e+02 +1.213912285e+03 +1.213912285e+03 -3.9586e-01 +4.1724e+00 +3.3913e+00 +3.4140e+00 +4.6001e+00 -2.5607e+00 -6.3543e-01 +1.0562e+00 -2.6750e+00 -1.0948e+00 -1.8096e+00 -3.2153e+00 +1.0615e+00 -4.3236e+00 +1.5639e+00 +2.1744e+00 +1.4119e+00 +1.3258e+00 -1.7987e+00 -1.6712e-01
632 0 +1.553715786e+02 +1.155371579e+03 +1.155371579e+03 -1.7586e+00 +3.7569e+00 +3.1158e+00 +2.5766e+00 +3.7420e+00 -2.5371e+00 -9.4905e-01 +1.0227e+00 -4.6991e+00 -9.2858e-01 -3.2601e+00 -2.9338e+00 -1.1318e+00 -3.0217e+00 +2.4948e+00 +4.2938e+00 +1.5014e+00 +6.7482e-01 -2.6781e+00 -5.1982e-01
849 0 +1.330530475e+02 +1.133053047e+03 +1.133053047e+03 -2.4217e+00 +3.2359e+00 +2.3499e+00 +1.6125e+00 +3.8329e+00 -3.4301e+00 -2.3431e+00 +1.3010e-01 -4.5389e+00 -6.1359e-01 -3.0931e+00 -2.4740e+00 -9.2754e-01 -2.8810e+00 +1.5596e+00 +3.0936e+00 +3.2497e+00 +8.6090e-01 -1.2420e+00 -5.0146e-01
866 0 +1.295877629e+02 +1.129587763e+03 +1.129587763e+03 -1.6229e+00 +3.3797e+00 +3.1703e+00 +2.1614e+00 +4.2813e+00 -3.0494e+00 -1.9228e+00 -2.9528e-01 -4.9843e+00 -1.5121e+00 -3.7208e+00 -1.3043e+00 -1.0987e+00 -2.3877e+00 +2.1710e+00 +3.4406e+00 +3.1572e+00 +7.5336e-02 -1.5507e+00 -3.6978e-01
2607 0 +1.194706753e+02 +1.119470675e+03 +1.119470675e+03 -1.8065e+00 +4.1692e+00 +4.4375e+00 +3.4938e+00 +3.1688e+00 -2.2774e+00 -2.9370e+00 +1.4807e-01 -3.7992e+00 -1.5022e+00 -2.9725e+00 -2.0969e+00 -1.7084e+00 -2.9926e+00 +2.2310e+00 +2.7861e+00 +3.0677e+00 -4.6935e-02 -1.6016e+00 -1.2567e-01
3068 0 +1.124573617e+02 +1.112457362e+03 +1.112457362e+03 -2.1684e+00 +3.7111e+00 +4.9228e+00 +4.0450e+00 +3.5474e+00 -3.0259e+00 -2.6907e+00 -1.0151e-01 -3.9557e+00 -1.5529e+00 -3.4552e+00 -2.1594e+00 -1.1638e+00 -3.6615e+00 +3.1142e+00 +3.5584e+00 +3.0182e+00 -4.5663e-01 -2.1691e+00 +1.9078e-01
3082 0 +8.847877382e+01 +1.088478774e+03 +1.088478774e+03 -2.1833e+00 +3.6626e+00 +4.9326e+00 +3.9942e+00 +3.6402e+00 -2.8833e+00 -2.7786e+00 -8.9910e-02 -4.0097e+00 -1.5159e+00 -3.4846e+00 -2.2515e+00 -1.1058e+00 -3.6120e+00 +3.1544e+00 +3.5255e+00 +3.0261e+00 -4.6670e-01 -2.0125e+00 +1.4605e-01
3130 0 +8.048063804e+01 +1.080480638e+03 +1.080480638e+03 -2.1893e+00 +3.7477e+00 +4.9228e+00 +4.0609e+00 +3.6283e+00 -2.7275e+00 -2.7142e+00 -1.3581e-01 -3.9579e+00 -1.5724e+00 -3.4819e+00 -2.4152e+00 -1.1582e+00 -3.6456e+00 +3.0041e+00 +3.6197e+00 +3.0865e+00 -5.0274e-01 -1.9659e+00 +1.6249e-01
3155 0 +6.953866941e+01 +1.069538669e+03 +1.069538669e+03 -2.0609e+00 +3.7492e+00 +4.9303e+00 +4.0649e+00 +3.6758e+00 -2.7750e+00 -2.6625e+00 -1.0293e-01 -3.8349e+00 -1.5409e+00 -3.5144e+00 -2.3608e+00 -1.1079e+00 -3.6991e+00 +3.1332e+00 +3.7383e+00 +3.0479e+00 -4.9997e-01 -1.9892e+00 +1.7789e-01
3203 0 +6.339465528e+01 +1.063394655e+03 +1.063394655e+03 -2.2113e+00 +3.6998e+00 +4.9946e+00 +4.0088e+00 +3.6382e+00 -2.7643e+00 -2.7625e+00 -1.3143e-01 -3.9324e+00 -1.5265e+00 -3.5073e+00 -2.2529e+00 -1.1160e+00 -3.7791e+00 +3.2311e+00 +3.7866e+00 +3.0162e+00 -4.9322e-01 -2.0465e+00 +1.9785e-01
3205 0 +6.293797168e+01 +1.062937972e+03 +1.062937972e+03 -2.0961e+00 +3.7502e+00 +4.9849e+00 +3.9698e+00 +3.5531e+00 -2.7215e+00 -2.7184e+00 -8.5216e-02 -3.9376e+00 -1.5912e+00 -3.5312e+00 -2.2913e+00 -1.0855e+00 -3.6382e+00 +3.1674e+00 +3.7333e+00 +2.9826e+00 -4.6997e-01 -2.0065e+00 +2.2126e-01
3216 0 +5.425034314e+01 +1.054250343e+03 +1.054250343e+03 -2.1669e+00 +3.6898e+00 +5.0000e+00 +4.0980e+00 +3.6833e+00 -2.6318e+00 -2.6752e+00 -7.1646e-02 -3.8565e+00 -1.6099e+00 -3.5052e+00 -2.3141e+00 -1.0897e+00 -3.7329e+00 +3.1294e+00 +3.7491e+00 +3.0113e+00 -4.4465e-01 -2.0100e+00 +1.4375e-01
3257 0 +4.923373492e+01 +1.049233735e+03 +1.049233735e+03 -2.2159e+00 +3.6332e+00 +4.9998e+00 +4.0262e+00 +3.6068e+00 -2.7375e+00 -2.7347e+00 -9.1098e-02 -3.8669e+00 -1.6100e+00 -3.5280e+00 -2.3498e+00 -1.1438e+00 -3.8147e+00 +3.0640e+00 +3.7739e+00 +3.0407e+00 -5.0571e-01 -1.9857e+00 +2.1172e-01
3317 0 +4.695290810e+01 +1.046952908e+03 +1.046952908e+03 -2.1846e+00 +3.6525e+00 +4.9874e+00 +4.0916e+00 +3.7070e+00 -2.7478e+00 -2.7527e+00 -1.1712e-01 -3.8147e+00 -1.5641e+00 -3.5381e+00 -2.3169e+00 -1.1247e+00 -3.7750e+00 +3.0490e+00 +3.7386e+00 +3.0670e+00 -4.9091e-01 -2.0116e+00 +2.1051e-01
3329 0 +4.569037609e+01 +1.045690376e+03 +1.045690376e+03 -2.2120e+00 +3.6203e+00 +4.9830e+00 +4.0935e+00 +3.6335e+00 -2.7071e+00 -2.7800e+00 -8.9201e-02 -3.8263e+00 -1.6300e+00 -3.5855e+00 -2.3116e+00 -1.1529e+00 -3.7201e+00 +3.1106e+00 +3.7020e+00 +3.0725e+00 -4.3811e-01 -2.0092e+00 +1.7731e-01
3368 0 +4.275415060e+01 +1.042754151e+03 +1.042754151e+03 -2.1940e+00 +3.6079e+00 +4.9814e+00 +4.0437e+00 +3.6512e+00 -2.7350e+00 -2.7375e+00 -9.3658e-02 -3.8379e+00 -1.5934e+00 -3.5352e+00 -2.2944e+00 -1.1121e+00 -3.7588e+00 +3.1028e+00 +3.7400e+00 +3.0854e+00 -4.8931e-01 -2.0132e+00 +2.1128e-01
3441 0 +4.235872933e+01 +1.042358729e+03 +1.042358729e+03 -2.2226e+00 +3.6270e+00 +4.9810e+00 +4.0348e+00 +3.6626e+00 -2.7135e+00 -2.7465e+00 -7.1245e-02 -3.8565e+00 -1.5779e+00 -3.5546e+00 -2.3155e+00 -1.1282e+00 -3.8044e+00 +3.1317e+00 +3.7138e+00 +3.0982e+00 -4.6901e-01 -2.0150e+00 +1.5743e-01
